ID,Z_LAMBDA,LAMBDA,Mbar,Mdm,R200_kpc,sigma_v_obs,sigma_v_gpf,ratio,n_members
1062,0.2831000089645386,81.30000305175781,81300003051757.81,6560354781828.115,111.980995530538,671.3894148659779,1060.5798382862513,1.5796791173688123,13
1100,0.3388000130653381,68.22000122070312,68220001220703.125,5131885426539.202,100.79454313539324,7573.999836623937,1021.424284484047,0.13485929581685077,10
1117,0.1147999987006187,47.040000915527344,47040000915527.34,3049683639961.085,80.6436878473765,4169.224089470107,943.6436102540264,0.22633554589625332,16
1126,0.1512999981641769,45.08000183105469,45080001831054.69,2873280562350.4336,78.6104607933492,763.0658497251869,935.1645687677848,1.2255358683717508,11
1143,0.1096000000834465,41.380001068115234,41380001068115.234,2548632614510.0527,74.67311794903272,4959.93403783889,918.3553283140799,0.18515474627445241,19
1177,0.1512999981641769,48.66999816894531,48669998168945.31,3198647643503.6685,82.30889758258657,583.6893006164997,950.4912154414355,1.6284198021747447,13
1200,0.1128000020980835,41.040000915527344,41040000915527.34,2519363576957.783,74.30437817167714,1997.2184223473216,916.7535715039498,0.4590151789339563,21
1204,0.1636999994516372,50.70000076293945,50700000762939.45,3386972668476.655,84.35188002007804,767.983211637191,958.7778712672789,1.248435977165895,12
1228,0.1018000021576881,47.04999923706055,47049999237060.55,3050591170114.5747,80.6539718682012,2051.7425604814557,943.686163285334,0.45994374804209914,24
1230,0.1064999997615814,41.34999847412109,41349998474121.086,2546045947115.4077,74.64062816404888,630.0591131787208,918.2143920214843,1.4573464184796674,20
1246,0.1127000004053115,41.15999984741211,41159999847412.11,2529682696635.1436,74.43465943877104,5455.478533297742,917.3200515671257,0.16814657888730097,20
1256,0.1368999928236007,37.52999877929688,37529998779296.88,2222954176104.7744,70.4234208279231,3185.617727967788,899.5911698959429,0.2823914376160325,12
1275,0.1213999986648559,37.61000061035156,37610000610351.56,2229591071298.4565,70.51345445238832,3048.603078699844,899.995812568504,0.2952158051852164,11
1304,0.1190999969840049,47.38999938964844,47389999389648.44,3081498241334.0347,81.00316885225088,1679.3359823654791,945.1291031380485,0.5627992927339999,24
1327,0.1508000046014785,39.70000076293945,39700000762939.45,2404956697113.321,72.83905388497259,1388.6657655336433,910.339764467097,0.655549943738454,18
1339,0.1041999980807304,36.41999816894531,36419998168945.31,2131456272239.81,69.16620360369303,5242.823377071929,893.9072496171939,0.17050111844821164,18
1398,0.147599995136261,48.040000915527344,48040000915527.34,3140832308317.4233,81.66797575828824,4104.997249771874,947.865738263237,0.23090532845446182,12
1401,0.1366000026464462,43.86000061035156,43860000610351.56,2765009492415.7964,77.32700098440776,6418.3124163328175,929.743029519444,0.1448578643746769,18
1424,0.1428000032901764,49.59999847412109,49599998474121.086,3284542367583.821,83.24899223151633,2509.0387435970474,954.319771704056,0.38035274430872645,11
1425,0.1168999969959259,39.060001373291016,39060001373291.016,2350854204091.898,72.13222679772097,485.9611841651102,907.2176211264873,1.866852025815813,12
1433,0.1004000008106231,40.91999816894531,40919998168945.31,2509056191813.6826,74.17394029194571,2823.21958244285,916.1858001423982,0.3245180806480696,23
1442,0.1182999983429908,40.20000076293945,40200000762939.45,2447468019668.086,73.38809657320441,4080.842539230052,912.7521470154857,0.2236675731153543,15
1446,0.1306000053882599,44.95000076293945,44950000762939.45,2861686960900.023,78.47436480129824,1350.8216493952484,934.5922550643604,0.6918694673591955,24
1447,0.1270000040531158,42.959999084472656,42959999084472.66,2685904140268.1357,76.37101191785013,747.0777526370377,925.6689049236923,1.239052965579905,16
1463,0.1342999935150146,43.27000045776367,43270000457763.67,2713077499112.8447,76.70119439675165,645.3113243062744,927.0795488310059,1.436639206397996,12
1487,0.125,33.869998931884766,33869998931884.766,1925492343266.3455,66.21846310044629,707.2269308500331,880.326266814553,1.2447578399714894,13
1569,0.1416999995708465,41.59999847412109,41599998474121.086,2567622545499.263,74.91106575758268,3875.6774759114155,919.3863700696555,0.23721952504663715,12
1574,0.1438000053167343,42.91999816894531,42919998168945.31,2682403533616.45,76.32833762166902,670.115095910101,925.4863145950538,1.3810856078956504,12
1639,0.1685999929904937,45.400001525878906,45400001525878.91,2901875356031.005,78.94479611691933,760.8801750447169,936.5679560857023,1.2309007210375278,10
1652,0.1193000003695488,46.34999847412109,46349998474121.086,2987240259615.386,79.93184204776449,753.6913783897961,940.6900581774407,1.2481104138236967,11
1687,0.1421000063419342,40.540000915527344,40540000915527.34,2476496939954.6455,73.75988645363324,1143.9471825815644,914.3794357335108,0.7993196273887538,11
1695,0.151199996471405,39.119998931884766,39119998931884.766,2355911151216.6943,72.19868499719526,3662.540314334361,907.5119729590698,0.24778211161451835,10
1696,0.1137999966740608,40.11000061035156,40110000610351.56,2439800274790.386,73.28947119560635,549.1695800493893,912.319624923018,1.6612712321774432,18
1703,0.1327999979257583,47.45000076293945,47450000762939.45,3086961784506.709,81.06468906433031,3608.5255312986696,945.3829212783643,0.2619859311174476,20
1744,0.1817999929189682,41.119998931884766,41119998931884.766,2526241541791.8022,74.39124787142723,709.2875274786014,917.1313599398372,1.2930318445047044,10
1752,0.303600013256073,60.25,60250000000000.0,4312612244294.8643,93.55439998282446,5603.17579536702,994.6664813714996,0.17751834275732317,11
1755,0.1149000003933906,39.880001068115234,39880001068115.234,2420236273280.8774,73.03702649397387,3915.6594586760516,911.2108981506105,0.2327094344559539,21
1791,0.1102000027894973,39.2400016784668,39240001678466.8,2366034996394.7407,72.3314876482212,2250.1532608754014,908.0996748921639,0.4035723657947086,18
1801,0.1067999973893165,40.47999954223633,40479999542236.33,2471366971970.0933,73.69436590099882,688.7658051720647,914.0930243187275,1.327146349970688,16
1835,0.2849000096321106,50.09000015258789,50090000152587.89,3330059444200.8555,83.74147512142314,1114.1485984125352,956.3149074409939,0.8583369478753315,10
1839,0.1347000002861023,40.58000183105469,40580001831054.69,2479918606528.0596,73.80354527370562,2630.8665481227094,914.5701958689151,0.34763078215484516,12
1842,0.1334999948740005,41.90999984741211,41909999847412.11,2594449745414.0034,75.24550868943464,471.3236373963314,920.832143834172,1.9537151773694164,11
1847,0.1247999966144561,42.02999877929688,42029998779296.88,2604855689914.2046,75.3747029188066,2298.8991970068223,921.3895872785397,0.4007959933511627,13
1855,0.1238999962806701,38.400001525878906,38400001525878.91,2295431188178.9307,71.3984414929804,5751.063123688661,903.9564635867015,0.15718075843461007,11
1870,0.12219999730587,37.75,37750000000000.0,2241218910487.9014,70.67082489290479,896.4883019927723,900.7023285470697,1.0047005929078272,15
1874,0.1280000060796737,38.88999938964844,38889999389648.44,2336542315955.7344,71.9436965805344,1151.3600216049067,906.3816895099644,0.787226994599429,11
1878,0.1028999984264373,35.619998931884766,35619998931884.766,2066198313886.9343,68.25057714763447,5414.6904803138805,889.72755182335,0.16431734280253338,20
1929,0.1393000036478042,37.63999938964844,37639999389648.44,2232081205533.262,70.54719516286342,885.9684481414838,900.1473733406056,1.01600387150227,11
1968,0.1457999944686889,37.4900016784668,37490001678466.8,2219638165504.64,70.37837952603329,668.3500649429786,899.3886191554818,1.3456849431625546,13
2041,0.1523000001907348,39.79999923706055,39799999237060.55,2413441793389.202,72.94908102426757,4223.83646695526,910.8240930956414,0.2156390523689489,10
2067,0.1476999968290329,39.5,39500000000000.0,2388011828991.649,72.61866226752903,745.9397074353433,909.3682701951934,1.2190908475991216,14
2073,0.1143999993801117,34.97999954223633,34979999542236.33,2014411810784.0232,67.51213878635552,4737.912013783113,886.3314757629367,0.18707216874954619,16
2076,0.1256999969482422,38.77999877929688,38779998779296.88,2327295058368.6123,71.8215314976786,636.5514881712395,905.8392984818694,1.4230416789759959,14
2096,0.3770000040531158,56.56999969482422,56569999694824.22,3948400396203.185,90.08276186493485,13637.513023931368,981.3906539693472,0.07196258234526957,10
2098,0.1384000033140182,35.060001373291016,35060001373291.016,2020864710843.3748,67.60473959055822,1151.1898375559585,886.7585970109974,0.7702974505869825,11
2111,0.1098000034689903,33.349998474121094,33349998474121.094,1884233346831.3352,65.60659193034945,425.3416542897559,877.4607718210038,2.0629551866633085,10
2116,0.1125999987125396,36.18999862670898,36189998626708.98,2112635304874.434,68.90379259722806,1877.7200051806296,892.7128815193124,0.4754238539592258,14
